Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12
3072	Catherine Fairfax MacRae	stock analyst	  Fred Alger Management	N-59	3	1	95	193	121		
3073	Sara Elizabeth Manley	vice president	  Fred Alger Management	N-59	1	224	95	391	121		
3074	Avnish Ramanbhai Patel	research analyst	  Fred Alger Management	N-59	0	573	33	751	59		
3075	Tu-Anh Pham	Fred Alger Management	N-60	0	225	33	329	59			
3076	Edward R. Pykon	null	N-61	0	6	64	135	90			
3077	Ginger Risco Nelson	null	N-60	0	588	64	743	90			
3078	John T. Schroeder	null	N-59	0	402	33	541	59			
3079	Dianne T. Signer and her unborn child	null	N-60	0	354	33	634	59			
3080	Arthur Simon	null	N-58	1	187	33	295	59			
3081	Bonnie Shihadeh Smithwick	null	N-61	0	32	33	234	59			
3082	Michael Andrew Tamuccio	Cantor Fitzgerald	N-59	0	425	95	624	121			
3083	Ronald Tartaro	null	N-60	0	459	64	586	90			
3084	Jennifer Lynn Tzemis	flight attendant	  American Airlines	N-58	1	608	64	759	90		
3085	Tyler Victor Ugolyn	null	N-59	1	171	64	328	90			
3086	Gregory Kamal Bruno Wachtler	null	N-60	0	518	95	759	121			
3087	Meredith Lynn Whalen	null	N-60	0	1	64	173	90			
3088	Myrna Yaskulka	null	N-60	0	178	64	302	90			
3089	Bradley V. Hoorn	null	N-58	1	335	33	471	59			
3090	Johanna Sigmund	null	N-60	0	21	95	156	121			
3091	Mark Evan Schurmeier	null	N-22	0	355	126	522	152			
3092	Karen Lynn Seymour	null	N-73	0	36	157	190	183			
3093	Anil Shivhari Umarkar	null	N-34	1	227	33	395	59			
3094	Joyce Ann Carpeneto	call records management assistant	  General Telecom	N-72	0	570	64	729	90		
3095	Helen D. Cook	customer service	  General Telecom	N-72	0	205	126	317	152		
3096	Tara McCloud Gray	null	N-72	0	601	33	756	59			
3097	Aisha Ann Harris	null	N-72	1	615	157	745	183			
3098	LaShawna Johnson	customer service	  General Telecom	N-72	0	467	95	616	121		
3099	Margaret Elaine Mattic	customer service	  General Telecom	N-72	0	393	33	571	59		
3100	Curtis Terrance Noel	switch operations technician	  General Telecom	N-72	1	566	126	727	152		
3101	Elsy Carolina Osorio Oliva	junior translation engineer	  General Telecom	N-72	0	339	126	544	152		
3102	Giovanna Porras	null	N-72	0	223	64	355	90			
3103	Juan William Rivera	null	N-72	0	290	95	439	121			
3104	Fitzroy St. Rose	null	N-72	0	635	95	757	121			
3105	Darryl Anthony Taylor	null	N-72	0	375	64	555	90			
3106	Salvatore Fiumefreddo	technician	  IPC Kleinknect Electric Co.	N-24	1	286	157	461	183		
3107	Hagay Shefi	null	N-21	0	294	33	388	59			
3108	Alexander Ortiz	programmer	  Cantor Fitzgerald	N-65	0	177	157	302	183		
3109	Lawrence Patrick Dickinson	broker	  Harvey Young Yurman Inc.	N-67	2	435	95	642	121		
3110	Emeric Harvey	null	N-67	3	300	95	409	121			
3111	Thomas G. Sullivan	null	N-67	2	574	64	722	90			
3112	Robert Sutcliffe	null	N-67	0	153	95	279	121			
3113	Robert T. Twomey	null	N-67	2	221	64	357	90			
3114	Edward T. Keane	null	N-66	2	593	157	719	183			
3115	Julio Fernandez	eSpeed	  Cantor Fitzgerald	S-45	0	215	64	337	90		
3116	Brian Leander Jones	systems administrator	  IBM Global	S-39	0	454	126	605	152		
3117	Andrew Fisher	director	  Imagine Software Inc.	N-22	0	163	64	275	90		
3118	Peter Edward Mardikian	sales manager	  Imagine Software Inc.	N-21	0	717	64	759	90		
3119	Anil Tahilram Bharvaney	null	N-22	1	410	157	597	183			
