Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12
5	Christian Adams	sales manager	  German Wine Fund	S-68	0	36	64	161	90		
6	Samantha L. Lightbourn-Allen	analyst	  U.S. Army	S-76	0	72	157	299	183		
7	Paul W. Ambrose	strategic development and software engineer	  Cantor Fitzgerald	S-70	0	384	64	513	90		
8	Craig Scott Amundson	illustrator	  U.S. Army	S-74	0	53	126	228	152		
9	Melissa Rose Barnes	yeoman second class	  U.S. Navy	S-72	0	104	95	254	121		
10	Lorraine G. Bay	flight attendant	  United Airlines	S-67	0	211	95	330	121		
11	Todd M. Beamer	account manager	  Oracle Corp.	S-68	0	128	157	250	183		
12	Alan Anthony Beaven	environmental lawyer	S-67	0	718	33	759	59			
13	Max J. Beilke	null	S-1	1	72	95	168	121			
14	Yeneneh Betru	null	S-69	0	638	95	750	121			
15	Mark Bingham	owner	  The Bingham Group	S-67	0	634	64	745	90		
16	Kris Romeo Bishundat	information systems technician	  U.S. Navy	S-72	0	440	33	605	59		
17	Carrie Rosetta Blagburn	analyst	  U.S. Army	S-1	0	7	64	192	90		
18	Deora Frances Bodley	university student	  Santa Clara (Calif.) University	S-68	0	318	95	485	121		
19	Canfield D. Boone	U.S. Army	S-74	0	443	95	583	121			
20	Mary Jane Booth	secretary	  American Airlines	S-69	0	6	95	138	121		
21	Donna M. Bowen	Pentagon communications representative	  Verizon	S-75	0	454	95	586	121		
22	Allen P. Boyle	defense department contractor	  U.S. Defense Department	S-73	0	646	126	755	152		
23	Sandy Waugh Bradshaw	flight attendant	  United Airlines	S-67	0	6	95	191	121		
24	Marion R. Britton	assistant director	  U.S. Census Bureau	S-67	1	312	64	450	90		
25	Bernard C. Brown II	student	  Leckie Elementary School (Washington)	S-70	2	395	126	546	152		
26	Christopher L. Burford	null	S-71	0	563	157	739	183			
27	Charles F. Burlingame III	null	S-69	0	5	64	188	90			
28	Thomas E. Burnett	 Jr.	null	S-68	0	195	64	360	90		
29	Daniel M. Caballero	electronics technician	  U.S. Navy	S-72	0	557	64	710	90		
30	Jose O. Calderon-Olmedo	null	S-74	0	269	126	460	152			
31	Suzanne M. Calley	null	S-71	0	246	126	386	152			
32	Angelene C. Carter	accountant	  U.S. Army	S-76	1	450	126	594	152		
33	Sharon Ann Carver	civilian employee	  U.S. Army	S-1	0	553	126	702	152		
34	William Joseph Cashman	construction worker	S-68	1	279	157	460	183			
35	William E. Caswell	physicist	  U.S. Navy	S-70	0	485	95	626	121		
36	John J. Chada	civilian employee	  U.S. Army	S-1	0	321	33	428	59		
37	Rosa Maria Chapa	civilian employee	  Defense Intelligence Agency	S-71	1	536	95	674	121		
38	David M. Charlebois	first officer	  American Airlines	S-69	0	155	33	307	59		
39	Sara M. Clark	teacher	  Backus Middle School (Washington)	S-70	1	130	126	237	152		
40	Julian T. Cooper	Navy contractor	S-73	1	401	95	527	121			
41	Georgine Rose Corrigan	antiques and collectibles dealer	S-68	0	549	126	731	152			
42	Asia S. Cottom	student	  Backus Middle School (Washington)	S-70	3	260	126	375	152		
43	Eric A. Cranford	U.S. Navy	S-72	0	549	126	678	152			
44	Patricia Cushing	retiree	S-67	1	347	126	475	152			
45	Jason M. Dahl	captain	  United Airlines	S-67	0	8	64	119	90		
46	Ada M. Davis	null	S-75	2	323	33	424	59			
47	James D. Debeuneure	teacher	  Ketcham Elementary School (Washington)	S-70	1	23	95	174	121		
48	Gerald F. DeConto	director	  U.S. Navy	S-72	0	182	64	327	90		
49	Joseph DeLuca	systems business consultant	  Pfizer Inc.	S-68	1	13	95	125	121		
50	Rodney Dickens	student	  Ketcham Elementary School (Washington)	S-70	2	195	95	315	121		
51	Jerry D. Dickerson	null	S-74	0	502	126	640	152			
52	Eddie A. Dillard	AA Flight 77	S-70	0	337	95	459	121			
53	Johnnie Doctor	 Jr.	information systems technician first class	  U.S. Navy	S-72	0	3	126	151	152	
54	Robert E. Dolan	 Jr.	senior vice president of financial markets	  Euro Brokers Inc.	S-73	2	424	33	572	59	
55	William H. Donovan	Marsh & McLennan Cos. Inc.	S-73	1	40	33	195	59			
56	Patrick Joseph Driscoll	research director	  Bell Communications	S-68	1	486	157	661	183		
57	Charles A. Droz III	vice president	  EM Solutions Inc.	S-70	0	19	33	159	59		
58	Patrick Dunn	surface warfare officer	  U.S. Navy	S-72	0	649	33	754	59		
59	Edward T. Earhart	Aerographer's mate	  U.S. Navy	S-72	0	232	157	376	183		
60	Barbara G. Edwards	teacher	  Palo Verde High School	S-70	1	530	64	682	90		
61	Robert R. Elseth	null	S-73	0	483	64	607	90			
62	Charles S. Falkenberg	research director	  ECOlogic Corp.	S-69	3	569	126	732	152		
63	Dana Falkenberg	AA Flight 77	S-69	3	414	157	544	183			
64	Zoe Falkenberg	AA Flight 77	S-69	3	550	157	668	183			
65	Jamie L. Fallon	storekeeper third class	  U.S. Navy	S-72	0	34	64	147	90		
66	Edward P. Felt	technology director	  BEA Systems	S-68	0	414	126	528	152		
67	J. Joseph Ferguson	educational outreach director	  National Geographic Society	S-69	0	612	33	752	59		
68	Amelia V. Fields	civilian employee	  U.S. Army	S-75	0	571	126	689	152		
69	Gerald P. Fisher	consultant	  Booz-Allen & Hamilton Inc.	S-75	2	3	64	124	90		
70	Darlene E. Flagg	housewife	S-70	1	486	33	614	59			
71	Wilson F. Flagg	retired Navy Admiral and pilot	  American Airlines	S-70	2	627	33	751	59		
72	Matthew M. Flocco	Aerographer's mate	  U.S. Navy	S-72	0	33	157	185	183		
73	Jane C. Folger	retiree	S-67	1	507	126	617	152			
74	Sandra N. Foster	civilian employee	  Defense Department	S-71	0	587	126	718	152		
75	Colleen L. Fraser	chairwoman	  New Jersey Developmental Disabilities Council	S-68	0	600	64	731	90		
76	Richard Peter Gabriel	insurance broker	  Aon Corp.	S-70	0	308	33	469	59		
77	Andrew Sonny Garcia	salesman	S-68	0	518	95	684	121			
78	Lawrence D. Getzfred	null	S-72	0	237	33	400	59			
79	Cortez Ghee	civilian employee	  U.S. Army	S-75	0	179	95	277	121		
80	Brenda C. Gibson	civilian employee	  U.S. Army	S-1	0	226	64	357	90		
81	Jeremy Logan Glick	UA Flight 93	S-67	0	571	157	716	183			
82	Ronald F. Golinski	null	S-75	0	559	157	701	183			
83	O. Kristin Osterholm White Gould	null	S-68	0	147	33	402	59			
84	Lauren Catuzzi Grandcolas and her unborn child	null	S-68	0	34	126	399	152			
85	Ian J. Gray	president	  McBee Associates	S-71	1	219	95	302	121		
86	Wanda Anita Green	flight attendant	  United Airlines	S-67	0	6	157	156	183		
87	Donald Freeman Greene	vice president	  Safe Flight Instrument Corp.	S-67	0	179	157	358	183		
88	Linda Gronlund	environmental compliance	  BMW	S-68	1	158	95	285	121		
89	Richard J. Guadagno	manager	  Humboldt Bay National Wildlife Refuge	S-67	0	526	33	686	59		
90	Diane Hale-McKinzy	civilian employee	  U.S. Army	S-1	0	454	33	604	59		
91	Stanley R. Hall	director	  Raytheon Co.	S-70	0	177	33	294	59		
92	Carolyn B. Halmon	analyst	  U.S. Army	S-75	0	569	64	716	90		
93	Michele M. Heidenberger	flight attendant	  American Airlines	S-69	0	5	126	186	152		
94	Sheila M.S. Hein	budget and management specialist	  U.S. Army	S-75	0	612	95	732	121		
95	Ronald John Hemenway	electronics technician	  U.S. Navy	S-71	0	553	33	732	59		
96	Wallace Cole Hogan	 Jr.	U.S. Army	S-74	0	195	33	379	59		
97	Jimmie I. Holley	accountant	  U.S. Army	S-75	1	184	33	298	59		
98	LeRoy W. Homer	 Jr.	first officer	  United Airlines	S-67	0	141	64	290	90	
99	Angela M. Houtz	null	S-73	7	134	126	265	152			
100	Brady Kay Howell	null	S-73	1	302	126	441	152			
101	Peggie M. Hurt	accountant	  U.S. Army	S-75	0	282	126	396	152		
102	Stephen N. Hyland	 Jr.	personnel issues	  U.S. Army	S-74	0	369	157	533	183	
103	Robert J. Hymel	analyst	  Pentagon	S-71	0	404	157	522	183		
104	Lacey Bernard Ivory	null	S-74	0	424	33	578	59			
105	Bryan C. Jack	analyst	  Defense Department	S-70	0	645	157	748	183		
106	Steven D. Jacoby	chief operating officer	  Metrocall Inc.	S-70	0	706	64	759	90		
107	Dennis M. Johnson	U.S. Army	S-74	0	148	95	291	121			
108	Judith Lawter Jones	civilian employee	  U.S. Navy	S-73	0	200	157	352	183		
109	Ann C. Judge	travel officer manager	  National Geographic Society	S-70	0	7	126	108	152		
110	Brenda Kegler	null	S-1	0	403	126	514	152			
111	Chandler Raymond Keller	null	S-69	0	685	157	759	183			
112	Yvonne E. Kennedy	retiree	  Australian Red Cross	S-69	0	267	157	408	183		
113	Norma Cruz Khan	manager	  Plumbing-Heating-Cooling Contractors-National Association	S-71	0	247	64	385	90		
114	Karen Ann Kincaid	lawyer	  Wiley Rein & Fielding (Washington)	S-70	0	712	126	759	152		
115	Toshiya Kuge	student	S-68	0	0	157	103	183			
116	Michael S. Lamana	Aon Corp.	S-72	0	424	157	563	183			
117	David W. Laychak	null	S-1	0	28	33	164	59			
118	Dong Chul Lee	engineer	  Boeing Co.	S-70	0	252	64	368	90		
119	Jennifer Lewis	flight attendant	  American Airlines	S-69	1	208	64	314	90		
120	Kenneth E. Lewis	flight attendant	  American Airlines	S-69	1	158	95	283	121		
121	Stephen V. Long	null	S-73	0	633	64	758	90			
122	CeeCee Lyles	flight attendant	  United Airlines	S-67	0	6	126	102	152		
123	James T. Lynch	 Jr.	null	S-73	0	476	126	610	152		
124	Terence M. Lynch	null	S-75	1	23	95	155	121			
125	Nehamon Lyons IV	null	S-72	0	614	95	755	121			
126	Hilda Marcin	retired teacher's aide	S-67	0	648	126	752	152			
127	Shelley A. Marshall	analyst	  Defense Intelligence Agency	S-71	2	406	126	556	152		
128	Teresa M. Martin	civilian employee	  U.S. Army	S-75	0	202	157	331	183		
129	Waleska Martinez	automation specialist	  U.S. Census Bureau	S-67	1	473	64	610	90		
130	Ada L. Mason-Acker	civilian employee	  U.S. Army	S-1	0	392	64	543	90		
131	Dean E. Mattson	U.S. Army	S-74	0	213	64	342	90			
132	Timothy J. Maude	deputy chief of staff for personnel	  U.S. Army	S-74	0	15	33	147	59		
133	Robert J. Maxwell	civilian employee	  U.S. Army	S-1	0	602	157	739	183		
134	Renée A. May and her unborn child	null	S-69	0	5	157	260	183			
135	Molly L. McKenzie	civilian employee	  U.S. Army	S-75	0	376	157	515	183		
136	Dora Marie Menchaca	null	S-69	0	672	64	759	90			
137	Patricia E. Mickley	financial manager	  Defense Department	S-71	0	404	64	543	90		
138	Ronald D. Milam	executive assistant	  U.S. Army	S-73	0	595	33	724	59		
139	Nicole Carol Miller	student	  West Valley College	S-67	0	350	33	501	59		
140	Gerard P. Moran	 Jr.	engineering contractor	  U.S. Navy	S-73	1	218	95	371	121	
141	Odessa V. Morris	analyst	  U.S. Army	S-76	0	509	157	639	183		
142	Brian A. Moss	electronics technician	  U.S. Navy	S-71	0	715	95	759	121		
143	Teddington H. Moy	civilian employee	  U.S. Army	S-1	0	47	126	195	152		
144	Patrick Jude Murphy	U.S. Navy	S-73	1	300	64	454	90			
145	Louis J. Nacke II	distribution center director	  Kay-Bee Toys	S-68	0	424	33	543	59		
146	Christopher C. Newton	executive	  WorkLife Benefits	S-71	1	25	95	201	121		
147	Khang Ngoc Nguyen	Navy contractor	S-73	0	557	95	715	121			
148	Michael A. Noeth	illustrator/draftsman second class	  U.S. Navy	S-72	0	290	95	423	121		
149	Barbara K. Olson	TV commentator	 author and lawyer	S-70	0	102	64	235	90		
150	Ruben S. Ornedo	firefighter	  New York Fire Department	S-70	0	132	157	260	183		
151	Diana B. Padro	civilian employee	  U.S. Army	S-76	1	115	126	231	152		
152	Chin Sun Pak Wells	U.S. Army	S-74	0	174	157	321	183			
153	Jonas Martin Panik	U.S. Navy	S-73	2	41	95	186	121			
154	Clifford L. Patterson	 Jr.	U.S. Army	S-74	0	536	64	722	90		
155	Robert Penninger	electrical engineer	  BAE Systems	S-69	0	483	95	616	121		
156	Donald Arthur Peterson	retired president	  Continental Electric Co.	S-67	1	356	95	544	121		
157	Jean Hoadley Peterson	retired nurse	S-67	1	565	95	736	121			
158	Robert R. Ploger III	software architect	  Lockheed Martin Corp.	S-71	1	195	33	340	59		
159	Zandra F. Ploger	Wife of Robert Ploger Legacy.com tribute	S-71	1	35	33	166	59			
160	Darin H. Pontell	U.S. Navy	S-73	2	0	64	128	90			
161	Scott Alan Powell	null	S-75	1	13	157	158	183			
162	Jack D. Punches	null	S-73	0	386	157	506	183			
163	Joseph J. Pycior	 Jr.	null	S-72	0	373	126	515	152		
164	Lisa J. Raines	null	S-71	0	123	126	220	152			
165	Deborah A. Ramsaur	null	S-1	0	82	157	235	183			
166	Rhonda Sue Rasmussen	null	S-76	0	192	95	364	121			
167	Marsha D. Ratchford	null	S-72	0	360	64	524	90			
168	Martha M. Reszke	null	S-1	0	232	126	365	152			
169	Todd H. Reuben	null	S-69	0	326	33	446	59			
170	CeCelia E. Richard	World Trade Center	S-76	0	332	157	470	183			
171	Mark David Rothenberg	null	S-68	0	389	64	568	90			
172	Edward V. Rowenhorst	null	S-76	2	256	126	433	152			
173	Judy Rowlett	null	S-1	0	634	33	740	59			
174	Robert E. Russell	null	S-1	0	480	95	609	121			
175	William R. Ruth	trader	  Euro Brokers Inc.	S-74	0	626	33	746	59		
176	Charles E. Sabin	 Sr.	retired astronautical engineer and manager of space programs	  BAE Systems	S-71	0	589	64	737	90	
177	Marjorie C. Salamone	null	S-75	0	171	64	333	90			
178	John P. Sammartino	null	S-71	1	180	157	329	183			
179	David M. Scales	vice president	  Fiduciary Trust International	S-74	0	0	95	120	121		
180	Robert A. Schlegel	null	S-72	0	614	157	756	183			
181	Janice M. Scott	null	S-1	0	275	157	394	183			
182	Michael L. Selves	null	S-75	0	127	126	256	152			
183	Marian H. Serva	null	S-75	0	305	95	427	121			
184	Dan F. Shanower	null	S-72	1	724	126	759	152			
185	Antionette M. Sherman	null	S-75	1	447	33	620	59			
186	Diane M. Simmons	New York State Department of Taxation and Finance	S-69	1	503	64	636	90			
187	Donald D. Simmons	null	S-76	0	390	95	538	121			
188	George W. Simmons	null	S-69	1	335	64	482	90			
189	Cheryle D. Sincock	null	S-75	0	379	64	522	90			
190	Gregg H. Smallwood	null	S-72	0	183	126	343	152			
191	Gary F. Smith	null	S-1	1	201	95	304	121			
192	Christine Ann Snyder	Windows on the World	S-67	0	383	157	543	183			
193	Mari-Rae Sopper	null	S-69	0	467	33	590	59			
194	Robert Speisman	null	S-70	0	270	157	393	183			
195	Patricia J. Statz	null	S-75	0	424	126	546	152			
196	Edna L. Stephens	beverage manager	  Windows on the World	S-1	0	577	64	704	90		
197	Norma Lang Steuerle	null	S-69	0	304	95	464	121			
198	Larry L. Strickland	null	S-74	0	39	64	184	90			
199	John Talignani	null	S-68	0	567	33	684	59			
200	Hilda E. Taylor	null	S-70	1	564	126	682	152			
201	Kip P. Taylor	null	S-74	0	316	95	416	121			
202	Leonard E. Taylor	null	S-71	1	24	157	164	183			
203	Sandra C. Taylor	null	S-1	0	433	157	566	183			
204	Sandra Dawn Teague	null	S-69	0	209	126	370	152			
205	Karl W. Teepe	null	S-71	1	405	95	509	121			
206	Tamara C. Thurman	null	S-74	0	570	157	719	183			
207	Otis V. Tolbert	null	S-73	1	47	157	164	183			
208	Willie Q. Troy	null	S-1	0	638	95	748	121			
209	Ronald J. Vauk	null	S-73	0	158	64	274	90			
210	Karen J. Wagner	null	S-74	0	0	157	124	183			
211	Honor Elizabeth Wainio	null	S-67	0	134	126	317	152			
212	Meta L. Waller	null	S-1	0	335	95	451	121			
213	Deborah Jacobs Welsh	null	S-67	0	159	33	329	59			
214	Maudlyn A. White	null	S-74	0	370	64	508	90			
215	Sandra L. White	null	S-75	0	637	33	759	59			
216	Leslie A. Whittington	null	S-69	3	387	126	550	152			
217	Ernest M. Willcher	null	S-75	1	22	33	166	59			
218	David Lucian Williams	vice president	  Carr Futures	S-73	2	224	33	392	59		
219	Dwayne Williams	Marsh & McLennan Cos. Inc.	S-74	0	609	95	740	121			
220	Marvin Roger Woods	null	S-73	0	544	157	708	183			
221	John D. Yamnicky	 Sr.	null	S-71	0	83	64	241	90		
222	Vicki Yancey	null	S-70	0	648	95	745	121			
223	Shuyin Yang	null	S-70	1	404	157	502	183			
224	Kevin W. Yokum	null	S-72	0	458	95	579	121			
225	Donald McArthur Young	null	S-72	0	3	33	198	59			
226	Edmond G. Young	 Jr.	null	S-74	1	695	126	759	152		
227	Lisa L. Young	null	S-1	0	192	33	296	59			
228	Yuguang Zheng	null	S-70	1	513	157	637	183			
229	Michael W. Lowe	Aon Corp.	S-46	0	235	157	366	183			
230	Anthony Richard Dawson	null	N-22	0	629	157	759	183			
231	Zhe Zeng	null	S-37	0	309	157	383	183			
232	Glenn J. Winuk	null	S-27	0	238	126	353	152			
233	Robert Gerlich	account associate	  Xerox Corp.	N-18	0	405	64	521	90		
234	Benilda Pascua Domingo	null	S-37	0	197	95	383	121			
235	Mon Gjonbalaj	janitorial	 porter	  ABM Industries	S-37	1	210	126	328	152	
236	Leon Lebor	null	N-64	0	1	126	90	152			
237	Joseph Piskadlo	structural carpenter	  ABM Industries	N-63	0	707	64	759	90		
238	Vanavah Alexei Thompson	null	N-64	0	23	33	218	59			
239	Donna M. Bernaerts	null	N-16	0	439	33	595	59			
240	Thomas Patrick Farrelly	Computer programmer	  Accenture	N-17	0	33	95	219	121		
241	Lyudmila Ksido	null	N-17	0	32	157	156	183			
242	Christine Sheila McNulty	null	N-19	0	342	95	531	121			
243	Thomas H. Polhemus	analyst	  Accenture	N-17	0	571	126	726	152		
244	Faina Rapoport	null	N-17	0	628	157	749	183			
245	Rufino C.F. Santos III	null	N-17	0	496	64	656	90			
246	Sanford M. Stoller	null	N-17	0	610	95	758	121			
247	Suresh Yanamadala	null	N-16	0	609	33	758	59			
248	Joseph Kent Collison	firefighter	  New York Fire Department	N-72	0	205	33	365	59		
249	Cindy Ann Deuel	executive assistant	  Carr Futures	N-59	0	26	126	154	152		
250	Andrew J. Bailey	consultant	  Marsh & McLennan Cos. Inc.	N-12	0	27	157	151	183		
251	Mannie Leroy Clark	World Trade Center	N-10	0	1	64	150	90			
252	Lamar Demetrius Hulse	null	N-17	0	415	95	585	121			
253	Stanley McCaskill	director	  Raytheon Co.	N-16	0	471	95	610	121		
254	Keith A. Broomfield	technician	  Advent Corp.	N-64	0	258	126	406	152		
255	Michael Gann	Aon Corp.	N-20	0	650	126	759	152			
256	David Garcia	consultant	  Marsh & McLennan Cos. Inc.	N-17	0	499	157	602	183		
257	Boris Khalif	consultant	  Marsh & McLennan Cos. Inc.	N-17	0	450	126	545	152		
258	John P. Lozowsky	null	N-17	0	345	157	480	183			
259	Eric L. Bennett	vice president	  Alliance Consulting	N-65	0	321	157	434	183		
260	Felicia Yvette Traylor-Bass	null	N-65	0	558	126	759	152			
261	Yvonne Lucia Bonomo	corporate travel booker	  American Express	N-18	10	153	126	323	152		
262	Gennady Boyarsky	travel agent	  American Express	N-18	2	435	157	576	183		
263	Bridget Ann Esposito	null	N-18	1	24	95	185	121			
264	Lisa Yvonne Kearney-Griffin	null	N-18	2	213	157	419	183			
265	Michael J. Pascuma	 Jr.	stock broker	  Harvey Young Yurman Inc.	N-67	3	380	64	546	90	
266	Anne T. Ransom	null	N-18	1	130	64	251	90			
267	Karen Renda	null	N-18	1	313	95	412	121			
268	Benito Valentin	null	N-18	1	268	64	390	90			
269	Loretta Ann Vero	null	N-18	1	1	126	139	152			
270	Sigrid Charlotte Wiswe	null	N-18	1	20	157	198	183			
271	Prokopios Paul Zois	null	N-18	3	335	126	488	152			
272	Carrie Beth Progen	null	S-59	0	489	64	635	90			
273	Tatyana Bakalinskaya	World Trade Center	N-17	0	233	95	398	121			
274	Mirna A. Duarte	World Trade Center	N-16	0	630	95	754	121			
275	Richard L. Salinardi	 Jr.	null	S-37	0	17	126	191	152		
276	Terence John Manning	consultant	  ARC Partners	N-21	0	256	95	426	121		
277	Victor Wald	null	N-63	1	219	157	321	183			
278	Liam Joseph Colhoun	operations supervisor	  Bank of America	N-73	0	146	64	306	90		
279	Susan P. Conlon	Marsh & McLennan Cos. Inc.	N-73	0	3	64	131	90			
280	Robert T. Hughes	 Jr.	sales engineer	  Netstal	N-73	0	35	33	190	59	
281	Peter Craig Alderman	salesman	  Bloomberg Tradebook	N-21	1	202	64	364	90		
282	William Hill Kelly	 Jr.	salesman	  Bloomberg L.P.	N-21	2	26	64	186	90	
283	Ramon B. Grijalvo	Empire Blue Cross Blue Shield	N-65	0	8	126	148	152			
284	David Michael Barkway	managing director	  BMO Nesbitt Burns	N-42	0	540	64	716	90		
285	Felix Bobby Calixte	null	N-73	0	162	126	304	152			
286	Arturo Angelo Sereno	null	N-58	0	418	126	590	152			
287	Francis Joseph Trombino	null	S-38	0	462	157	646	183			
288	Manuel João DaMota	null	N-71	1	118	157	284	183			
289	Francisco Miguel Mancini	null	N-71	0	333	64	527	90			
290	Obdulio Ruiz Diaz	null	N-71	1	473	157	610	183			
291	Wayne Terrial Davis	null	N-21	0	460	157	613	183			
292	Naomi Leah Solomon	null	N-21	0	270	157	431	183			
293	Christian Hans Rudolf Wemmers	null	N-21	0	1	157	240	183			
294	Andrew Anthony Abate	trader	  Cantor Fitzgerald	N-57	2	353	95	531	121		
295	Vincent Paul Abate	trader	  Cantor Fitzgerald	N-57	2	186	95	332	121		
296	Laurence Christopher Abel	World Trade Center	  Tower 1	 101st floor	N-32	0	559	157	759	183	
297	Paul Acquaviva	eSpeed vice president of corporate development	  Cantor Fitzgerald	N-37	0	585	126	715	152		
298	Donald LaRoy Adams	vice president	  Cantor Fitzgerald	N-55	0	595	95	758	121		
299	Shannon Lewis Adams	Fixed income accountant	  Cantor Fitzgerald	N-49	0	2	64	168	90		
300	Lee Adler	Computer designer	  Cantor Fitzgerald	N-37	0	134	64	210	90		
301	Daniel Thomas Afflitto	trader	  Cantor Fitzgerald	N-25	3	502	126	679	152		
302	Alok Agarwal	Cantor Fitzgerald	N-36	0	185	64	297	90			
303	David Scott Agnes	Cantor Fitzgerald	N-47	0	176	33	320	59			
304	Joanne Marie Ahladiotis	Cantor Fitzgerald	N-37	0	431	33	613	59			
305	Andrew Alameno	trader	  Cantor Fitzgerald	N-52	2	3	126	135	152		
306	Edward L. Allegretto	convertible bonds broker	  Cantor Fitzgerald	N-40	2	574	64	738	90		
307	Joseph Ryan Allen	bond broker	  Cantor Fitzgerald	N-41	0	176	64	314	90		
308	Christopher E. Allingham	bond broker	  Cantor Fitzgerald	N-42	1	549	126	739	152		
309	Michael Rourke Andrews	Cantor Fitzgerald	N-53	1	372	64	559	90			
310	Laura Angilletta	purchase and sales clerk	  Cantor Fitzgerald	N-32	1	578	126	710	152		
311	Lorraine Antigua	securities lending department	  Cantor Fitzgerald	N-53	0	36	157	170	183		
312	Peter Paul Apollo	trader	  Cantor Fitzgerald	N-26	1	406	95	544	121		
313	Frank Thomas Aquilino	Cantor Fitzgerald	N-39	2	513	95	694	121			
314	Michael J. Armstrong	Cantor Fitzgerald	N-43	0	23	157	185	183			
315	Joshua Todd Aron	Cantor Fitzgerald	N-42	1	27	95	171	121			
316	Michael Edward Asher	Cantor Fitzgerald	N-36	0	2	64	172	90			
317	John J. Badagliacca	salesman	  Cantor Fitzgerald	N-52	2	167	126	318	152		
318	Jane Ellen Baeszler	broker	  Cantor Fitzgerald	N-43	0	613	33	757	59		
319	Paul Vincent Barbaro	strategic development and software engineer	  Cantor Fitzgerald	N-36	1	475	95	640	121		
320	Ivan Kyrillos Fairbanks-Barbosa	Cantor Fitzgerald	N-43	0	523	157	759	183			
321	Colleen Ann Barkow	project manager	  Cantor Fitzgerald	N-32	0	232	126	391	152		
322	Renee Barrett-Arjune	null	N-48	0	563	126	722	152			
323	Carlton W. Bartels	broker	  Cantor Fitzgerald	N-50	2	526	157	675	183		
324	Guy Barzvi	Cantor Fitzgerald	N-48	2	222	126	309	152			
325	Inna B. Basina	Cantor Fitzgerald	N-48	3	306	33	414	59			
326	Alysia Christine Burton Basmajian	accountant	  Cantor Fitzgerald	N-47	0	476	95	728	121		
327	W. David Bauer	head of global sales for eSpeed	  Cantor Fitzgerald	N-37	0	436	126	555	152		
328	Lawrence Ira Beck	broker	  Cantor Fitzgerald	N-31	0	341	126	479	152		
329	Maria A. Behr	trader	  Cantor Fitzgerald	N-27	0	510	64	616	90		
330	Debbie S. Bellows	Cantor Fitzgerald	N-37	1	634	33	759	59			
331	Bryan Craig Bennett	Cantor Fitzgerald	N-55	0	525	64	680	90			
332	Dominick J. Berardi	bond broker	  Cantor Fitzgerald	N-31	0	555	64	698	90		
333	Alvin Bergsohn	assistant trader	  Cantor Fitzgerald	N-25	1	354	126	475	152		
334	William H. Bernstein	broker	  Cantor Fitzgerald	N-56	0	274	64	427	90		
335	Timothy D. Betterly	null	N-41	0	81	95	231	121			
336	Bella J. Bhukhan	null	N-49	0	402	33	529	59			
337	Joshua David Birnbaum	trader	  Cantor Fitzgerald	N-42	2	160	64	335	90		
338	Albert Balewa Blackman	 Jr.	junior accountant	  Cantor Fitzgerald	N-48	0	160	157	367	183	
339	Craig Michael Blass	trader	  Cantor Fitzgerald	N-28	0	378	33	529	59		
340	John Paul Bocchi	managing director	  Cantor Fitzgerald	N-46	0	390	157	525	183		
341	Bruce Douglas Boehm	broker	  Cantor Fitzgerald	N-41	0	521	64	688	90		
342	Martin Michael Boryczewski	Cantor Fitzgerald	N-26	2	215	64	426	90			
343	Thomas Harold Bowden	 Jr.	equities trader	  Cantor Fitzgerald	N-26	2	138	157	345	183	
344	Kimberly S. Bowers	administrative assistant	  Cantor Fitzgerald	N-36	1	433	64	574	90		
345	Shawn Edward Bowman	 Jr.	human resources information specialist	  Cantor Fitzgerald	N-49	0	41	95	247	121	
346	Alfred J. Braca	bond broker	  Cantor Fitzgerald	N-41	1	414	33	530	59		
347	Michelle Renee Bratton	Cantor Fitzgerald	N-34	0	650	157	759	183			
348	Frank H. Brennan	vice president	  Cantor Fitzgerald	N-55	2	424	33	558	59		
349	Edward A. Brennan III	Cantor Fitzgerald	N-53	1	593	33	757	59			
350	Mark Francis Broderick	accountant	  Cantor Fitzgerald	N-28	1	196	157	373	183		
351	Lloyd Stanford Brown	compliance officer for institutional equities	  Cantor Fitzgerald	N-29	1	384	64	561	90		
352	Brandon J. Buchanan	null	N-29	0	210	64	374	90			
353	Dennis Buckley	firefighter	  New York Fire Department	N-43	1	25	33	141	59		
354	Patrick Joseph Buhse	research director	  Bell Communications	N-53	2	235	95	391	121		
355	John Edward Bulaga	 Jr.	Euro Brokers Inc.	N-34	2	659	64	759	90		
356	Stephen Bruce Bunin	null	N-37	0	217	157	373	183			
357	Matthew J. Burke	World Trade Center	N-29	3	625	95	757	121			
358	Thomas Daniel Burke	null	N-54	2	184	64	343	90			
359	Keith James Burns	null	N-28	0	11	64	144	90			
360	Milton G. Bustillo	null	N-34	1	481	95	624	121			
361	Brian Joseph Cachia	Cantor Fitzgerald	N-34	0	518	33	669	59			
362	Richard Michael Caggiano	Cantor Fitzgerald	N-26	2	81	126	281	152			
363	Scott Walter Cahill	bond broker	  Cantor Fitzgerald	N-42	1	386	126	543	152		
364	Thomas Joseph Cahill	trader	  Cantor Fitzgerald	N-40	2	173	126	336	152		
365	Dominick E. Calia	bond broker	  Cantor Fitzgerald	N-43	3	620	95	752	121		
366	Gino Luigi Calvi	null	N-51	2	625	157	749	183			
367	Sandra Patricia Campbell	Computer programmer	  Cantor Fitzgerald	N-37	0	146	95	335	121		
368	John A. Candela	senior trader	  Cantor Fitzgerald	N-26	1	553	33	678	59		
